"season","posteam","full_name","offense_players","years_exp","pass_snaps","rec_yards_total","targets_total","receiving_epa_total","yards_per_pass_snap","targets_per_pass_snap","rec_epa_per_pass_snap","name_season","position","team"
2022,"SEA","D'Wayne Eskridge","00-0036620",2,83,58,13,-1.96,0.7,0.16,-0.02,"D'Wayne Eskridge 2022","WR","SEA"
2022,"SEA","DK Metcalf","00-0035640",4,510,1048,141,8,2.05,0.28,0.02,"DK Metcalf 2022","WR","SEA"
2022,"SEA","Dareke Young","00-0037093",1,28,24,2,2.09,0.86,0.07,0.07,"Dareke Young 2022","WR","SEA"
2022,"SEA","DeeJay Dallas","00-0036425",3,123,126,19,0.11,1.02,0.15,0,"DeeJay Dallas 2022","RB","SEA"
2022,"SEA","Kenneth Walker","00-0038134",1,259,165,35,-11.96,0.64,0.14,-0.05,"Kenneth Walker 2022","RB","SEA"
2022,"SEA","Laquon Treadwell","00-0032951",7,64,42,10,-3.1,0.66,0.16,-0.05,"Laquon Treadwell 2022","WR","SEA"
2022,"SEA","Marquise Goodwin","00-0030068",10,266,387,42,20.9,1.45,0.16,0.08,"Marquise Goodwin 2022","WR","SEA"
2022,"SEA","Noah Fant","00-0035644",4,333,486,63,19.09,1.46,0.19,0.06,"Noah Fant 2022","TE","SEA"
2022,"SEA","Penny Hart","00-0035022",4,19,20,4,-0.88,1.05,0.21,-0.05,"Penny Hart 2022","WR","SEA"
2022,"SEA","Rashaad Penny","00-0034750",5,86,16,5,1.07,0.19,0.06,0.01,"Rashaad Penny 2022","RB","SEA"
2022,"SEA","Tony Jones","00-0035860",3,17,18,6,-5.41,1.06,0.35,-0.32,"Tony Jones 2022","RB","SEA"
2022,"SEA","Travis Homer","00-0035594",4,107,157,18,-5.41,1.47,0.17,-0.05,"Travis Homer 2022","RB","SEA"
2022,"SEA","Tyler Lockett","00-0032211",8,467,1033,117,38.25,2.21,0.25,0.08,"Tyler Lockett 2022","WR","SEA"
2022,"SEA","Will Dissly","00-0034159",5,265,349,38,26.39,1.32,0.14,0.1,"Will Dissly 2022","TE","SEA"
2022,"SF","Brandon Aiyuk","00-0036261",3,486,1015,114,41.96,2.09,0.23,0.09,"Brandon Aiyuk 2022","WR","SF"
2022,"SF","Charlie Woerner","00-0036429",3,46,0,2,-1.42,0,0.04,-0.03,"Charlie Woerner 2022","TE","SF"
2022,"SF","Christian McCaffrey","00-0033280",6,257,464,65,23.54,1.81,0.25,0.09,"Christian McCaffrey 2022","RB","SF"
2022,"SF","Danny Gray","00-0037828",1,28,10,7,-2.95,0.36,0.25,-0.11,"Danny Gray 2022","WR","SF"
2022,"SF","Deebo Samuel","00-0035719",4,345,632,94,8.94,1.83,0.27,0.03,"Deebo Samuel 2022","WR","SF"
2022,"SF","Elijah Mitchell","00-0036567",2,21,7,4,-2.01,0.33,0.19,-0.1,"Elijah Mitchell 2022","RB","SF"
2022,"SF","George Kittle","00-0033288",6,437,765,86,39.61,1.75,0.2,0.09,"George Kittle 2022","TE","SF"
2022,"SF","Jauan Jennings","00-0036259",3,280,416,56,13.96,1.49,0.2,0.05,"Jauan Jennings 2022","WR","SF"
2022,"SF","Jeffery Wilson","00-0034115",5,120,91,13,-3.36,0.76,0.11,-0.03,"Jeffery Wilson 2022","RB","MIA"
2022,"SF","Jordan Mason","00-0037525",1,10,0,0,0,0,0,0,"Jordan Mason 2022","RB","SF"
2022,"SF","Kyle Juszczyk","00-0029892",10,212,200,23,6.57,0.94,0.11,0.03,"Kyle Juszczyk 2022","RB","SF"
2022,"SF","Ray-Ray McCloud","00-0034407",5,154,243,25,12.39,1.58,0.16,0.08,"Ray-Ray McCloud 2022","WR","SF"
2022,"SF","Ross Dwelley","00-0034073",5,44,105,5,8.34,2.39,0.11,0.19,"Ross Dwelley 2022","TE","SF"
2022,"SF","Tevin Coleman","00-0032058",8,16,44,3,5.23,2.75,0.19,0.33,"Tevin Coleman 2022","RB","SF"
2022,"SF","Tyler Kroft","00-0032214",8,62,57,5,2.72,0.92,0.08,0.04,"Tyler Kroft 2022","TE","SF"
2022,"SF","Tyrion Davis-Price","00-0037827",1,26,0,2,-0.93,0,0.08,-0.04,"Tyrion Davis-Price 2022","RB","SF"
2022,"SF","Willie Snead","00-0030663",9,15,NA,NA,NA,NA,NA,NA,"Willie Snead 2022","WR","SF"
2022,"TB","Breshad Perriman","00-0032054",8,135,110,19,-2.43,0.81,0.14,-0.02,"Breshad Perriman 2022","WR","TB"
2022,"TB","Cade Otton","00-0038129",1,479,391,65,4.97,0.82,0.14,0.01,"Cade Otton 2022","TE","TB"
2022,"TB","Cameron Brate","00-0031273",9,234,174,38,-11.74,0.74,0.16,-0.05,"Cameron Brate 2022","TE","TB"
2022,"TB","Chris Godwin","00-0033921",6,562,1023,142,30.64,1.82,0.25,0.05,"Chris Godwin 2022","WR","TB"
2022,"TB","Cole Beasley","00-0029000",11,8,17,5,-0.56,2.12,0.62,-0.07,"Cole Beasley 2022","WR","BUF"
2022,"TB","Deven Thompkins","00-0037487",1,39,32,10,-5.98,0.82,0.26,-0.15,"Deven Thompkins 2022","WR","TB"
2022,"TB","Giovani Bernard","00-0030456",10,17,-1,2,-2.14,-0.06,0.12,-0.13,"Giovani Bernard 2022","RB","TB"
2022,"TB","Jaelon Darden","00-0036877",2,37,26,2,0.86,0.7,0.05,0.02,"Jaelon Darden 2022","WR","CLE"
2022,"TB","Julio Jones","00-0027944",12,238,299,43,7.49,1.26,0.18,0.03,"Julio Jones 2022","WR","TB"
2022,"TB","Ke'Shawn Vaughn","00-0036450",3,17,19,4,-0.37,1.12,0.24,-0.02,"Ke'Shawn Vaughn 2022","RB","TB"
2022,"TB","Ko Kieft","00-0037311",1,86,80,10,4.62,0.93,0.12,0.05,"Ko Kieft 2022","TE","TB"
2022,"TB","Kyle Rudolph","00-0027981",12,41,28,5,1.94,0.68,0.12,0.05,"Kyle Rudolph 2022","TE","TB"
2022,"TB","Leonard Fournette","00-0033856",6,430,523,83,13.68,1.22,0.19,0.03,"Leonard Fournette 2022","RB","TB"
2022,"TB","Mike Evans","00-0031408",9,605,1124,127,27.04,1.86,0.21,0.04,"Mike Evans 2022","WR","TB"
2022,"TB","Rachaad White","00-0037256",1,291,290,58,6.97,1,0.2,0.02,"Rachaad White 2022","RB","TB"
2022,"TB","Russell Gage","00-0034411",5,359,426,70,20.4,1.19,0.19,0.06,"Russell Gage 2022","WR","TB"
2022,"TB","Scott Miller","00-0035298",4,180,185,40,0.71,1.03,0.22,0,"Scott Miller 2022","WR","TB"
2022,"TEN","Austin Hooper","00-0032392",7,288,444,60,26.15,1.54,0.21,0.09,"Austin Hooper 2022","TE","TEN"
2022,"TEN","C.J. Board","00-0033367",6,8,6,1,0.21,0.75,0.12,0.03,"C.J. Board 2022","WR","TEN"
2022,"TEN","Chigoziem Okonkwo","00-0037809",1,158,450,46,22.78,2.85,0.29,0.14,"Chigoziem Okonkwo 2022","TE","TEN"
2022,"TEN","Chris Conley","00-0032128",8,47,46,5,2.5,0.98,0.11,0.05,"Chris Conley 2022","WR","TEN"
2022,"TEN","Cody Hollister","00-0033386",6,39,54,5,-4.38,1.38,0.13,-0.11,"Cody Hollister 2022","WR","TEN"
2022,"TEN","Derrick Henry","00-0032764",7,215,398,41,14.12,1.85,0.19,0.07,"Derrick Henry 2022","RB","TEN"
2022,"TEN","Dontrell Hilliard","00-0034253",5,124,177,26,5.73,1.43,0.21,0.05,"Dontrell Hilliard 2022","RB","TEN"
2022,"TEN","Geoff Swaim","00-0032141",8,157,58,16,-1.83,0.37,0.1,-0.01,"Geoff Swaim 2022","TE","TEN"
2022,"TEN","Hassan Haskins","00-0037617",1,96,57,12,-3.64,0.59,0.12,-0.04,"Hassan Haskins 2022","RB","TEN"
2022,"TEN","Julius Chestnut","00-0037594",1,19,41,3,0.78,2.16,0.16,0.04,"Julius Chestnut 2022","RB","TEN"
2022,"TEN","Kevin Rader","00-0034193",5,23,NA,NA,NA,NA,NA,NA,"Kevin Rader 2022","TE","TEN"
2022,"TEN","Kyle Philips","00-0037273",1,41,78,13,-1.94,1.9,0.32,-0.05,"Kyle Philips 2022","WR","TEN"
2022,"TEN","Mason Kinsey","00-0036176",3,7,3,1,0,0.43,0.14,0,"Mason Kinsey 2022","WR","TEN"
2022,"TEN","Nick Westbrook-Ikhine","00-0036182",3,358,397,50,2.52,1.11,0.14,0.01,"Nick Westbrook-Ikhine 2022","WR","TEN"
2022,"TEN","Racey McMath","00-0036652",2,40,40,8,-5.56,1,0.2,-0.14,"Racey McMath 2022","WR","TEN"
2022,"TEN","Robert Woods","00-0030431",10,397,527,91,8.95,1.33,0.23,0.02,"Robert Woods 2022","WR","TEN"
